service_key,denominazione,comune,indirizzo,qualita,motivo,fonte
rete:PUB72-R1-018,Centro Diurno Valle Aurelia,Roma,"Via di Valle Aurelia, 257",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma1.it/presidi-territoriali/Distretto%2013/lista_presidi
rete:PUB72-R1-023,Gruppo Appartamento Galline Bianche,Roma,"Via delle Galline Bianche, 82",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma1.it/presidi-territoriali/Distretto%2015/lista_presidi
rete:PUB72-R2-001,Centro Diurno L’Aquilone,Roma,"Via della Rustica, 218",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page
rete:PUB72-R2-009,SRTRe Sillani – Il Ponte e l’Albero,Roma,"Via T. Sillani, 7",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale
rete:PUB72-R2-012,SRSR H12 Le Terrazze/Lunghezza,Roma,"Via della Rustica, 218",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale
rete:PUB72-RI-001,Comunità Terapeutico-Riabilitativa La Villa,Rieti,"Via Tavola d’Argento, 19",D,Nessun pin: via troppo estesa per un pin univoco,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-strutture-riabilitative-salute-mentale-e-rems
rete:PUB72-RI-002,Centro Diurno Psichiatrico Melograno – Poggio Mirteto,Poggio Mirteto,"Via Formello loc. Sant’Antonio, 2/A",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/wp-content/uploads/fileadmin/user_upload/23.06_all_2.1_ELENCO_DEFINITIVO_IMMOBILI_ASL.pdf
rete:PUB72-VT-002,Centro Diurno DSM Viterbo,Viterbo,"Via M. Romiti, 54",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/centro-diurno-dsm
rete:PUB72-VT-003,Centro Diurno DSM Civita Castellana,Civita Castellana,Viale Enrico Minio,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/centro-diurno-dsm
rete:PUB72-VT-004,SRSR H24 Villa San Giuseppe,Montefiascone,Loc. Le Mosse,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative
rete:PUB72-FR-001,SRTRe Franco Basaglia,Frosinone,"Via A. Fabi, snc",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf
rete:PUB72-FR-002,SRTRe Romolo Priori,Frosinone,"Via A. Fabi, snc – Palazzina M",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf
rete:PUB72-FR-003,SRTRe Maxwell Jones,Ceccano,"Borgo Santa Lucia, 52",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf
moduli:MOD-038,Abaton / Progetto Insieme Castelforte,Castelforte,"Via A. De Gasperi, 36",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://trasparenza.asl1abruzzo.it/page/103/details/247006/prestazioni-di-assistenza-psichiatrica-rete-privata-accreditata-sita-fuori-regione-liquidazione-fatture-gennaio-aprile-2026-presidio-sanitario-srtr-abaton-progetto-insieme-soc-progetto-insieme-srl-castelforte-lt.html
moduli:MOD-091,Agatos – Comunità Francesco Giugliarelli,Viterbo,"Via Strada Cimina, 16/A",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/strutture-private-accreditate
moduli:MOD-064,Al Colle,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-046,Alberto Pezzi,Santi Cosma e Damiano,"Via Ausente, km 2.750",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/strutture/
moduli:MOD-094,Borgo San Tommaso,Roccasecca,"Via San Francesco, 2/a",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://gestivar.it/le-strutture/
moduli:MOD-081,Canterano,Canterano,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-082,Canterano,Canterano,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-013,Casa Siloè,Roma,"Via Portuense, 251",D,Nessun pin: civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://www.aslroma3.it/wp-content/uploads/2026/07/contratto_budget_04_05_31_12_26-1.pdf
moduli:MOD-075,Castel Madama,Castel Madama,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-076,Castel Madama,Castel Madama,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-025,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-026,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-027,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-028,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-024,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-023,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-069,Comunità Francesco,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-058,Comunità Santa Maria / Capannelle,Roma,"Via Appia Nuova,1251",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.ceisroma.it/wp-content/uploads/2026/06/PARS-CEIS-CAPANNELLE-2026.pdf
moduli:MOD-070,Il Colle,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-051,In Dialogo — Il Casale,Trivigliano,Contrada Malle snc,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.actalazio.it/in-dialogo/
moduli:MOD-065,Insieme ONLUS,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-045,Insieme Spigno,Spigno Saturnia,"Via Silvio Pellico, 7/9",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/strutture/
moduli:MOD-040,Insieme1 Luna,Formia,Via Penitro a Monte snc,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf
moduli:MOD-039,Insieme1 Sole,Formia,Via Penitro a Monte snc,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf
moduli:MOD-041,Insieme2,Santi Cosma e Damiano,Via Ausente km2.750,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf
moduli:MOD-087,IO Centro ETS,Roma,Roma - sede da confermare nel contratto,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://aslroma2.it/index.php/62-cittadini/servizi/medicina-protesica/139-medicina-protesica
moduli:MOD-067,La Staffa,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-083,Maieusis — Residenza terapeutica,Capena,"Via Macchia Tonda, 8",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.maieusis.org/contatti/
moduli:MOD-107,Nuovi Orizzonti – Comunità di Piglio,Piglio,"Via Prenestina, 95",D,Nessun pin: via troppo estesa per un pin univoco,https://asl1abruzzo.patisweb.it/page/103/details/248940/prestazioni-sanitarie-relative-allarea-delle-dipendenze-patologiche-rete-privata-accreditata-liquidazione-fatture-periodo-gennaiomaggio-2026-associazione-di-volontariato-onlus-nuovi-orizzonti-comunita-di-piglio-fr.html
moduli:MOD-063,Operiamo Insieme,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-068,Rosaurora,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-071,Villa Adriana,Tivoli,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-072,Villa Adriana,Tivoli,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-073,Villa Adriana,Tivoli,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-074,Villa Adriana,Tivoli,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-085,Villa Belvedere,Torricella in Sabina,Via Salaria km 64,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.strutturapsichiatricavillabelvedere.com/
moduli:MOD-061,Villa Elisa,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-062,Villa Letizia — EGO,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-066,Villa Maddalena,Da consolidare,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-079,Villaggio Adriano,Tivoli,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-080,Villaggio Adriano,Tivoli,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-077,Villanova,Guidonia Montecelio,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-078,Villanova,Guidonia Montecelio,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf
moduli:MOD-105,Aquilone Azzurro – La Gatta,Santa Marinella,"Lungomare G. Marconi, 96",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.cooperativasocialeaquiloneazzurro.it/
moduli:MOD-095,Borgo San Tommaso,Roccasecca,"Via San Francesco, 2/a",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://gestivar.it/le-strutture/
moduli:MOD-049,C. Massimo,Anzio,"Via Oratorio di Santa Rita,3",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.actalazio.it/c-massimo/
moduli:MOD-056,Campus Calisto Felli,Viterbo,"Via Acquabianca,11/B",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://ceis.viterbo.it/comunita-doppia-diagnosi/
moduli:MOD-115,Comunità Emmanuel – Centro Riccardo Blasetti,Rieti,"Via Cese, 12",D,Nessun pin: via troppo estesa per un pin univoco,https://www.asl.rieti.it/associazioni-asl-rieti
moduli:MOD-052,Exodus Cassino,Cassino,"Via San Domenico Vertelle,23",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.actalazio.it/exodus-cassino/
moduli:MOD-053,Exodus Cassino,Cassino,"Via San Domenico Vertelle,23",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.actalazio.it/exodus-cassino/
moduli:MOD-092,Gli Oleandri,Sant’Elia Fiumerapido,"Via Tascitara, 9",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf
moduli:MOD-044,Insieme Ausonia,Ausonia,"Contrada Orfanotrofio, località Faiano",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf
moduli:MOD-093,Le Palme,Sant’Elia Fiumerapido,"Via Tascitara, 9",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf
moduli:MOD-114,Mondo Nuovo – Colle Speranza,Tarquinia,"S.S. Aurelia bis Km 3,841",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf
moduli:MOD-113,Mondo Nuovo – Villa Ciulepi,Monte Romano,"S.S. Aurelia bis Km 10,900",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf
moduli:MOD-112,Mondo Nuovo – Villa Paradiso,Tarquinia,"S.P. Litoranea Km 1,750",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf
moduli:MOD-111,Mondo Nuovo – Villa Sergetto,Civitavecchia,"S.P. Braccianese Claudia Km 69,300",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf
moduli:MOD-055,Palanzana,Viterbo,"Via Palanzana,15",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://ceis.viterbo.it/strutture/
moduli:MOD-033,Samadi,Roma,"Via di Grottarossa, km2.200",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf
moduli:MOD-032,Samadi,Roma,"Via di Grottarossa, km2.200",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf
moduli:MOD-031,Samadi,Roma,"Via di Grottarossa, km2.200",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf
moduli:MOD-059,San Carlo e Villa Santa Francesca Romana,Marino,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ceisroma.it/wp-content/uploads/2026/06/PARS-CEIS-SAN-CARLO-2026.pdf
moduli:MOD-096,San Nicola – Belmonte,Belmonte Castello,"Via Pozzi, 20",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf
moduli:MOD-054,Santa Maria della Quercia,Viterbo,"Via Acquabianca,7",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://ceis.viterbo.it/comunita-terapeutica/
moduli:MOD-101,Villa Daniela,Castrocielo,Via per la Stazione d’Aquino,D,Nessun pin: via troppo estesa per un pin univoco,https://www.cooperativailcastelloincantato.it/la-cooperativa/amministrazione-trasparente/
moduli:MOD-098,Villa Lucrezia – Il Castello Incantato,Castrocielo,"Via Casilina, 35",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf
moduli:MOD-037,Villa Rosa,Viterbo,"Viale Francesco Baracca, 21",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://viterbo.ospedaliere.it/psichiatria/
moduli:MOD-036,Villa Rosa,Viterbo,"Viale Francesco Baracca, 21",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://viterbo.ospedaliere.it/psichiatria/
moduli:MOD-035,Villa Rosa,Viterbo,"Viale Francesco Baracca, 21",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://viterbo.ospedaliere.it/psichiatria/
moduli:MOD-102,Villa Simona,Castrocielo,Via per la Stazione d’Aquino,D,Nessun pin: via troppo estesa per un pin univoco,https://www.cooperativailcastelloincantato.it/la-cooperativa/amministrazione-trasparente/
moduli:MOD-022,Colle Cesarano,Tivoli,"Via Maremmana Inferiore, 102",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.kormed.it/strutture/colle-cesarano/
moduli:MOD-030,Samadi,Roma,"Via di Grottarossa, km2.200",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf
moduli:MOD-034,Villa Rosa,Viterbo,"Viale Francesco Baracca, 21",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://viterbo.ospedaliere.it/psichiatria/
moduli:MS775-REV-CTC1,Reverie – Comunità terapeutica Capena CTC 1,Capena,"Via Passo Cavallone, 4",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://reverie.it/strutture/la-comunita-terapeutica-riabilitativa-residenziale-di-capena-ctc-1/
privati:PRI-003,Centro Medico Santagostino – Roma Via Goito,Roma,"Roma, Via Goito",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.santagostino.it/it/news/percorso-disturbi-del-comportamento-alimentare-dca-ora-anche-a-roma
privati:PRI-004,Qrare Centro Medico,Roma,Roma; indirizzo puntuale da verificare sul sito in prenotazione,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.qrare.it/
privati:PRI-005,Centro ADHD Roma,Roma,Roma; sede puntuale da verificare al contatto,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.adhdroma.com/
privati:PRI-010,Centro Clinico IRPPI,Roma,"Corso Vittorio Emanuele II 305, Roma",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.irppiscuolapsicoterapia.it/centroclinico/
privati:PRI-011,Fondazione Santa Lucia IRCCS – Ambulatorio di Neuropsicologia (accesso privato),Roma,"Via Ardeatina 306, Roma",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.hsantalucia.it/neuropsicologia
privati:PRI76-003,AIRRI Medical – Poliambulatorio Viterbo,Viterbo,"Via C. Cattaneo 46/T, Viterbo",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.airrimedical.it/it/ambulatori-viterbo/
privati:PRI76-004,Medical Pontino – Neuropsicologia clinica,Latina,"Via Custoza 3, Latina; ingresso da confermare (anche 3/B nel sito)",D,Nessun pin: indirizzo sorgente non consolidato,https://medicalpontino.it/neuropsicologia-clinica/
privati:PRI76-005,RiaH Riabilitazione – consulenza neuropsicologica,Rieti,"Via Nuova 169/A, Rieti; sede della prestazione da confermare alla segreteria",D,Nessun pin: indirizzo sorgente non consolidato,https://www.riahsalute.it/portfolio-items/neuropsicologia/
moduli:V79-INS-VENERE,Comunità Insieme – SRSR Venere,Santi Cosma e Damiano,Via Ausente – località Cerri Aprano,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/s-r-s-r-venere-e-marte/
moduli:V79-INS-MARTE,Comunità Insieme – SRSR Marte,Santi Cosma e Damiano,Via Ausente – località Cerri Aprano,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.comunitainsieme.com/s-r-s-r-venere-e-marte/
