service_key;denominazione;comune;indirizzo;livello;nota;fonti
moduli:MOD-083;Maieusis — Residenza terapeutica;Capena;Via Macchia Tonda, 8, Capena;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.maieusis.org/wp-content/uploads/2022/11/maieusis-2022_carta_dei_servizi.pdf | https://www.maieusis.org/la-comunita-maieusis/ | https://www.maieusis.org/il-modello-maieusis/informazioni-per-linserimento/ | https://www.maieusis.org/contatti/
moduli:MOD-085;Villa Belvedere;Torricella in Sabina;Via Salaria km 64;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.strutturapsichiatricavillabelvedere.com/ | https://www.asl.rieti.it/wp-content/uploads/2025/06/CONTRATTO_VILLA_BELVEDERE_ANNI_202502026.pdf | https://www.asl.rieti.it/trasparency-e-privacy/amministrazione-trasparente/strutture-sanitarie-private-accreditate
moduli:MOD-061;Villa Elisa;Guidonia Montecelio;Via Tiburtina Valeria, 258;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-404-del-10.03.2025-BUDGET-PSICHIATRICHE-INTEGRAZIONE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/ | https://www.aslroma5.it/wp-content/uploads/2026/07/Strutture-Private-Accreditate-2025-2026.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Villa-Elisa.pdf | https://www.regione.lazio.it/sites/default/files/2026-02/Estrazione-provvedimenti-2025-27022026.pdf
moduli:MOD-066;Villa Maddalena;Castel Madama;Via Sant’Anna, 26;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-404-del-10.03.2025-BUDGET-PSICHIATRICHE-INTEGRAZIONE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/ | https://www.aslroma5.it/wp-content/uploads/2026/07/Strutture-Private-Accreditate-2025-2026.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Villa-Maddalena.pdf
moduli:MOD-105;Aquilone Azzurro – La Gatta;Santa Marinella;Lungomare G. Marconi, 96;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.cooperativasocialeaquiloneazzurro.it/ | https://www.cooperativasocialeaquiloneazzurro.it/strutture/ | https://www.cooperativasocialeaquiloneazzurro.it/DOCPDF/PARS%20Aquilone%20Azzurro.pdf
moduli:MOD-095;Borgo San Tommaso;Roccasecca;Via San Francesco, 2/a;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf | https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf | https://gestivar.it/le-strutture/ | https://gestivar.it/contatti/
moduli:MOD-056;Campus Calisto Felli;Viterbo;Via Acquabianca,11/B;D;Street too long for a new unambiguous pin (>2.5 km);https://ceis.viterbo.it/comunita-doppia-diagnosi/ | https://ceis.viterbo.it/wp-content/uploads/2022/09/carta-dei-servizi-rev-rev4-10-07-2023.pdf
moduli:MOD-052;Exodus Cassino;Cassino;Via San Domenico Vertelle,23;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.actalazio.it/exodus-cassino/ | https://www.exodus.it/sedi-exodus/cassino.html | https://www.exodus.it/sedi-exodus/documenti/cassino_cs_2025.pdf
moduli:MOD-053;Exodus Cassino;Cassino;Via San Domenico Vertelle,23;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.actalazio.it/exodus-cassino/ | https://www.exodus.it/sedi-exodus/cassino.html | https://www.exodus.it/sedi-exodus/documenti/cassino_cs_2025.pdf
moduli:MOD-092;Gli Oleandri;Sant’Elia Fiumerapido;Via Tascitara, 9;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf | https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf | https://irp.cdn-website.com/b4ea64a2/files/uploaded/MODELLO%20231%20SOGEPI%20SRL%202021%20.pdf | https://trasparenza.asl1abruzzo.it/page/9/details/188507/prestazioni-sanitarie-di-assistenza-psichiatrica-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggio-giugno-2025-presidio-sanitario-srtr-le-palme-e-gli-oleandri-sogepi-srl-sant-elia-fiumerapido-fr.html
moduli:MOD-044;Insieme Ausonia;Ausonia;Contrada Orfanotrofio, località Faiano;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf | https://www.comunitainsieme.com/strutture/
moduli:MOD-093;Le Palme;Sant’Elia Fiumerapido;Via Tascitara, 9;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf | https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf | https://irp.cdn-website.com/b4ea64a2/files/uploaded/MODELLO%20231%20SOGEPI%20SRL%202021%20.pdf | https://trasparenza.asl1abruzzo.it/page/9/details/188507/prestazioni-sanitarie-di-assistenza-psichiatrica-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggio-giugno-2025-presidio-sanitario-srtr-le-palme-e-gli-oleandri-sogepi-srl-sant-elia-fiumerapido-fr.html
moduli:MOD-114;Mondo Nuovo – Colle Speranza;Tarquinia;S.S. Aurelia bis Km 3,841;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf | https://comunitamondonuovo.it/ | https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-113;Mondo Nuovo – Villa Ciulepi;Monte Romano;S.S. Aurelia bis Km 10,900;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf | https://comunitamondonuovo.it/ | https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-112;Mondo Nuovo – Villa Paradiso;Tarquinia;S.P. Litoranea Km 1,750;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf | https://comunitamondonuovo.it/ | https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-111;Mondo Nuovo – Villa Sergetto;Civitavecchia;S.P. Braccianese Claudia Km 69,300;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://comunitamondonuovo.it/wp-content/uploads/2024/07/Carta-Servizi.pdf | https://comunitamondonuovo.it/ | https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-033;Samadi;Roma;Via di Grottarossa, km2.200;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali | https://www.ghcspa.com/samadi/contatti
moduli:MOD-032;Samadi;Roma;Via di Grottarossa, km2.200;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali | https://www.ghcspa.com/samadi/contatti
moduli:MOD-031;Samadi;Roma;Via di Grottarossa, km2.200;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali | https://www.ghcspa.com/samadi/contatti
moduli:MOD-059;San Carlo e Villa Santa Francesca Romana;Marino;Non documentato;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ceisroma.it/wp-content/uploads/2026/06/PARS-CEIS-SAN-CARLO-2026.pdf | https://www.ceisroma.it/wp-content/uploads/2021/05/carta-servizi-2021.pdf | https://www.ceisroma.it/info-trasparenza/ | https://www.ceisroma.it/project/comunita-san-carlo-e-villa-santa-francesca-romana-servizio-residenziale-pedagogico-riabilitativo-per-persone-dipendenti/ | https://www.ceisroma.it/la-gratuita-di-tutti-i-servizi-e-il-nostro-personale/ | https://www.ceisroma.it/wp-content/uploads/2026/03/CARTA-SERVIZI-CT-SAN-CARLO.pdf | https://www.ceisroma.it/wp-content/uploads/2023/05/Bilancio-sociale-2021-al-14_05_21.pdf
moduli:MOD-096;San Nicola – Belmonte;Belmonte Castello;Via Pozzi, 20;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf | https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf | https://www.regione.lazio.it/sites/default/files/decreti-commissario-ad-acta/Decr_U00006_21_1_13_Revoca_DCA_U00127_2013_BELMONTE.pdf
moduli:MOD-054;Santa Maria della Quercia;Viterbo;Via Acquabianca,7;D;Street too long for a new unambiguous pin (>2.5 km);https://ceis.viterbo.it/comunita-terapeutica/ | https://www.actalazio.it/
moduli:MOD-098;Villa Lucrezia – Il Castello Incantato;Castrocielo;Via Casilina, 35;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf | https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf | https://www.cooperativailcastelloincantato.it/la-cooperativa/amministrazione-trasparente/ | https://www.cooperativailcastelloincantato.it/portfolio_category/strutture/ | https://www.cooperativailcastelloincantato.it/contatti/
moduli:MOD-030;Samadi;Roma;Via di Grottarossa, km2.200;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali | https://www.ghcspa.com/samadi/contatti
moduli:MS775-REV-CTC1;Reverie – Comunità terapeutica Capena CTC 1;Capena;Via Passo Cavallone, 4;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://reverie.it/strutture/ | https://reverie.it/strutture/la-comunita-terapeutica-riabilitativa-residenziale-di-capena-ctc-1/ | https://reverie.it/wp-content/uploads/2023/04/Manuale-completo.pdf
privati:PRI-003;Centro Medico Santagostino – Roma Via Goito;Roma;Via Goito 58, 00185 Roma;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.santagostino.it/it/news/percorso-disturbi-del-comportamento-alimentare-dca-ora-anche-a-roma | https://www.santagostino.it/it/sedi/rm-via-goito
privati:PRI76-003;AIRRI Medical – Poliambulatorio Viterbo;Viterbo;Via Carlo Cattaneo 46/T, Viterbo;D;La sede di Viterbo al 46/T resta distinta dalla sede legale romana. Nessun pin attribuito al civico 46/O o a una generica sede del gruppo.;https://www.airrimedical.it/it/ambulatori-viterbo/
moduli:V79-INS-VENERE;Comunità Insieme – SRSR Venere;Santi Cosma e Damiano;Via Ausente – località Cerri Aprano;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/s-r-s-r-venere-e-marte/
moduli:V79-INS-MARTE;Comunità Insieme – SRSR Marte;Santi Cosma e Damiano;Via Ausente – località Cerri Aprano;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/s-r-s-r-venere-e-marte/
