# V7.11 source reconnaissance — candidates only
No automatic pin or operational-data update.

rete:R1-01 | DSM Roma 1 — riferimento organizzativo | Roma | ND — non documentato nelle fonti consultate | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:PUB72-FR-003 | SRTRe Maxwell Jones | Ceccano | Borgo Santa Lucia, 52 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-091 | Agatos – Comunità Francesco Giugliarelli | Viterbo | Via Strada Cimina, 16/A | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-046 | Alberto Pezzi | Santi Cosma e Damiano | Via Ausente, km 2.750 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-094 | Borgo San Tommaso | Roccasecca | Via San Francesco, 2/a | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-081 | Gabbiano Tirreno – Rocca Canterano 1 (già IHG) | Rocca Canterano | Via della Maddalena, 2 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-082 | Gabbiano Tirreno – Rocca Canterano 2 (già IHG) | Rocca Canterano | Via della Maddalena, 2 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-013 | Casa Siloè | Roma | Via Portuense, 251 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-075 | Gabbiano Tirreno – Castel Madama 1 (già IHG) | Castel Madama | Strada Provinciale, 40/A | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-076 | Gabbiano Tirreno – Castel Madama 2 (già IHG) | Castel Madama | Strada Provinciale, 40/A | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-058 | Comunità Santa Maria / Capannelle | Roma | Via Appia Nuova,1251 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-070 | Il Colle | Da consolidare | Non documentato | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-051 | In Dialogo — Il Casale | Trivigliano | Contrada Malle snc | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-045 | Insieme Spigno | Spigno Saturnia | Via Silvio Pellico, 7/9 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-040 | Insieme1 Luna | Formia | Via Penitro a Monte snc | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-039 | Insieme1 Sole | Formia | Via Penitro a Monte snc | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-041 | Insieme2 | Santi Cosma e Damiano | Via Ausente km2.750 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-087 | IO Centro ETS | Roma | Roma - sede da confermare nel contratto | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-083 | Maieusis — Residenza terapeutica | Capena | Via Macchia Tonda, 8 | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-085 | Villa Belvedere | Torricella in Sabina | Via Salaria km 64 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-061 | Villa Elisa | Guidonia Montecelio | Via Tiburtina Valeria, 258 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-066 | Villa Maddalena | Castel Madama | Via Sant’Anna, 26 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-105 | Aquilone Azzurro – La Gatta | Santa Marinella | Lungomare G. Marconi, 96 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-095 | Borgo San Tommaso | Roccasecca | Via San Francesco, 2/a | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-056 | Campus Calisto Felli | Viterbo | Via Acquabianca,11/B | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-052 | Exodus Cassino | Cassino | Via San Domenico Vertelle,23 | HTTP_OK 1 | 41.5049802,13.8371348 https://www.exodus.it/sedi-exodus/cassino.html
moduli:MOD-053 | Exodus Cassino | Cassino | Via San Domenico Vertelle,23 | HTTP_OK 1 | 41.5049802,13.8371348 https://www.exodus.it/sedi-exodus/cassino.html
moduli:MOD-092 | Gli Oleandri | Sant’Elia Fiumerapido | Via Tascitara, 9 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-044 | Insieme Ausonia | Ausonia | Contrada Orfanotrofio, località Faiano | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-093 | Le Palme | Sant’Elia Fiumerapido | Via Tascitara, 9 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-114 | Mondo Nuovo – Colle Speranza | Tarquinia | S.S. Aurelia bis Km 3,841 | HTTP_OK 2 | 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/; 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-113 | Mondo Nuovo – Villa Ciulepi | Monte Romano | S.S. Aurelia bis Km 10,900 | HTTP_OK 2 | 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/; 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-112 | Mondo Nuovo – Villa Paradiso | Tarquinia | S.P. Litoranea Km 1,750 | HTTP_OK 2 | 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/; 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-111 | Mondo Nuovo – Villa Sergetto | Civitavecchia | S.P. Braccianese Claudia Km 69,300 | HTTP_OK 2 | 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/; 42.08060360507716,11.807529552800737 https://comunitamondonuovo.it/category/centri-accreditati/
moduli:MOD-033 | Samadi | Roma | Via di Grottarossa, km2.200 | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-032 | Samadi | Roma | Via di Grottarossa, km2.200 | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-031 | Samadi | Roma | Via di Grottarossa, km2.200 | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-059 | San Carlo e Villa Santa Francesca Romana | Marino | Non documentato | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-096 | San Nicola – Belmonte | Belmonte Castello | Via Pozzi, 20 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-054 | Santa Maria della Quercia | Viterbo | Via Acquabianca,7 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-098 | Villa Lucrezia – Il Castello Incantato | Castrocielo | Via Casilina, 35 | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MOD-030 | Samadi | Roma | Via di Grottarossa, km2.200 | HTTP_OK 3 | MANUAL_RESEARCH_REQUIRED
moduli:MS775-REV-CTC1 | Reverie – Comunità terapeutica Capena CTC 1 | Capena | Via Passo Cavallone, 4 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
privati:PRI-003 | Centro Medico Santagostino – Roma Via Goito | Roma | Roma, Via Goito | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
privati:PRI-004 | Qrare Centro Medico | Roma | Roma; indirizzo puntuale da verificare sul sito in prenotazione | HTTP_OK 1 | 41.9123576,12.5151966 https://www.qrare.it/
privati:PRI-005 | Centro ADHD Roma | Roma | Roma; sede puntuale da verificare al contatto | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
privati:PRI-011 | Fondazione Santa Lucia IRCCS – Ambulatorio di Neuropsicologia (accesso privato) | Roma | Via Ardeatina 306, Roma | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
privati:PRI76-003 | AIRRI Medical – Poliambulatorio Viterbo | Viterbo | Via C. Cattaneo 46/T, Viterbo | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:V79-INS-VENERE | Comunità Insieme – SRSR Venere | Santi Cosma e Damiano | Via Ausente – località Cerri Aprano | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
moduli:V79-INS-MARTE | Comunità Insieme – SRSR Marte | Santi Cosma e Damiano | Via Ausente – località Cerri Aprano | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
